Date,Ticker,Weights
2016-12-30,IAG LN Equity,-0.004398
2016-12-30,ABE SQ Equity,-0.004405
2016-12-30,BPOST BB Equity,-0.004718
2016-12-30,ADP FP Equity,-0.0057
2016-12-30,ATL IM Equity,-0.005746
2016-12-30,G1A GY Equity,-0.006065
2016-12-30,BB FP Equity,-0.006265
2016-12-30,FER SQ Equity,-0.006291
2016-12-30,BOKA NA Equity,-0.006655
2016-12-30,COB LN Equity,-0.006906
2016-12-30,HWDN LN Equity,-0.008468
2016-12-30,GET FP Equity,-0.008733
2016-12-30,TPK LN Equity,-0.009025
2016-12-30,BRSN LN Equity,-0.009642
2016-12-30,AGK LN Equity,-0.009887
2016-12-30,EZJ LN Equity,-0.0107
2016-12-30,CPI LN Equity,-0.018669
2016-12-30,VCT LN Equity,-0.00224
2016-12-30,CRDA LN Equity,-0.002301
2016-12-30,RRS LN Equity,-0.002525
2016-12-30,SYNN SW Equity,-0.002548
2016-12-30,YAR NO Equity,-0.002641
2016-12-30,POLY LN Equity,-0.00265
2016-12-30,HUH1V FH Equity,-0.002656
2016-12-30,SMDS LN Equity,-0.002722
2016-12-30,SKG ID Equity,-0.002767
2016-12-30,AI FP Equity,-0.002831
2016-12-30,AKZA NA Equity,-0.002849
2016-12-30,GIVN SW Equity,-0.00328
2016-12-30,FPE3 GY Equity,-0.003288
2016-12-30,SCAB SS Equity,-0.003332
2016-12-30,SY1 GY Equity,-0.003646
2016-12-30,CLN SW Equity,-0.003651
2016-12-30,SDF GY Equity,-0.003719
2016-12-30,EVK GY Equity,-0.00379
2016-12-30,CHR DC Equity,-0.00416
2016-12-30,HPOLB SS Equity,-0.004426
2016-12-30,NSISB DC Equity,-0.006307
2016-12-30,ESNT LN Equity,-0.007749
2016-12-30,NTGY SQ Equity,-0.001749
2016-12-30,SRG IM Equity,-0.002261
2016-12-30,ENG SQ Equity,-0.002433
2016-12-30,RED SQ Equity,-0.003133
2016-12-30,SEV FP Equity,-0.003416
2016-12-30,TRN IM Equity,-0.003697
2016-12-30,EDF FP Equity,-0.004318
2016-12-30,VIE FP Equity,-0.006062
2016-12-30,EOAN GY Equity,-0.006091
2016-12-30,ENGI FP Equity,-0.007536
2016-12-30,ELISA FH Equity,-0.002094
2016-12-30,RRTL GY Equity,-0.002211
2016-12-30,MONY LN Equity,-0.002318
2016-12-30,TELIA SS Equity,-0.002437
2016-12-30,TEF SQ Equity,-0.002697
2016-12-30,UTDI GY Equity,-0.002706
2016-12-30,SPR GY Equity,-0.003319
2016-12-30,BT/A LN Equity,-0.003639
2016-12-30,SKY LN Equity,-0.003892
2016-12-30,KPN NA Equity,-0.004001
2016-12-30,ETL FP Equity,-0.004197
2016-12-30,TIT IM Equity,-0.004612
2016-12-30,ITV LN Equity,-0.005277
2016-12-30,PSM GY Equity,-0.005773
2016-12-30,ISAT LN Equity,-0.005953
2016-12-30,DEC FP Equity,-0.006043
2016-12-30,VENDA NO Equity,-0.008544
2016-12-30,MFEB IM Equity,-0.009323
2016-12-30,SN/ LN Equity,-0.001994
2016-12-30,DEMANT DC Equity,-0.002013
2016-12-30,GRF SQ Equity,-0.002564
2016-12-30,BAYN GY Equity,-0.002941
2016-12-30,ROG SW Equity,-0.003535
2016-12-30,EL FP Equity,-0.003564
2016-12-30,COLOB DC Equity,-0.003656
2016-12-30,NOVN SW Equity,-0.003801
2016-12-30,SOBI SS Equity,-0.003953
2016-12-30,2627525D LN Equity,-0.004203
2016-12-30,UCB BB Equity,-0.00468
2016-12-30,VIFN SW Equity,-0.006274
2016-12-30,GETIB SS Equity,-0.006988
2016-12-30,HIK LN Equity,-0.007231
2016-12-30,MDC LN Equity,-0.00917
2016-12-30,NOVOB DC Equity,-0.009564
2016-12-30,HLMA LN Equity,-0.001395
2016-12-30,AMS SE Equity,-0.001411
2016-12-30,SIM DC Equity,-0.002457
2016-12-30,CAP FP Equity,-0.002999
2016-12-30,GTO NA Equity,-0.00373
2016-12-30,FINGB SS Equity,-0.004442
2016-12-30,VANTI FP Equity,-0.006403
2016-12-30,NOKIA FH Equity,-0.0067
2016-12-30,ING FP Equity,-0.007479
2016-12-30,ERICB SS Equity,-0.007564
2017-01-31,MRW LN Equity,0.012417
2017-01-31,TSCO LN Equity,0.011425
2017-01-31,KESKOB FH Equity,0.010512
2017-01-31,MOWI NO Equity,0.00893
2017-01-31,CCH LN Equity,0.00819
2017-01-31,ARYN SW Equity,0.004173
2017-01-31,HEN3 GY Equity,0.003821
2017-01-31,CPR IM Equity,0.003443
2017-01-31,BATS LN Equity,0.003134
2017-01-31,JMT PL Equity,0.002878
2017-01-31,SBRY LN Equity,0.002797
2017-01-31,OR FP Equity,0.002587
2017-01-31,ORK NO Equity,0.00248
2017-01-31,TATE LN Equity,0.002378
2017-01-31,DGE LN Equity,0.002077
2017-01-31,BOK LN Equity,0.001409
2017-01-31,BARN SE Equity,0.001026
2017-01-31,RKT LN Equity,0.000949
2017-01-31,RACE IM Equity,0.013235
2017-01-31,STLAM IM Equity,0.012983
2017-01-31,KER FP Equity,0.008707
2017-01-31,ADS GY Equity,0.008212
2017-01-31,FR FP Equity,0.00743
2017-01-31,SK FP Equity,0.006508
2017-01-31,CDI FP Equity,0.006504
